videoId,title,description,channelTitle,publishedAt,viewCount,duration,分類,Genre,Video_type
AELcUB5ylPA,『news23』　小川彩佳アナが秋葉原で玉木雄一郎代表へ直撃姿！”自民圧力で降板”のウワサを払拭#shorts #小川彩佳 #news23,"動画生成: NoLang (no-lang.com)
VOICEVOX: ずんだもん",話題のニュース,2025-07-16T12:28:51Z,18152,47,メディア批判,User-Generated Content (including clips)  ,Shorts
BerBC5pqktE,【太田光が問う／国民民主党】玉木雄一郎代表ホンネ対談　選挙の日、そのまえに。｜TBS NEWS DIG,"7月20日投開票の参議院選挙を前に、爆笑問題・太田光が「選挙の日2025」のスペシャルキャスターとして、国民民主党の玉木雄一郎代表を直接取材。

日本の課題や目指す日本のカタチなど、国民民主党のリーダーとしてのホンネに迫りました。

TBSは「選挙の日、そのまえに。」と題し、有権者の皆さんが、どの党、どの候補者に投票するのか、判断するのに必要な有益な情報をお伝えしていきます。

【6月27日収録】
●国民民主党　玉木雄一郎代表
●「選挙の日2025」太田光スペシャルキャスター

「選挙の日2025」は7月20日（日）よる7時からの「バレーボールネーションズリーグ男子 日本×アメリカ」終了後から生放送でお届けします。

※原則、発言内容をそのまま掲載しています。特定候補者らに言及している部分は割愛しています。

▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig",TBS NEWS DIG Powered by JNN,2025-07-14T07:40:00Z,294949,1810,メディア批判,Media,Video
AaPjakO0Ou8,榛葉幹事長最後の訴え#国民民主党 #玉木雄一郎 #榛葉賀津也 #奥村よしひろ＃牛田まゆ#shorts,"2025年7月19日新橋SL広場街頭演説。

引用元動画
https://www.youtube.com/live/YhKtP5gf2Ic?si=PyrsrFq-kYIOFaPm",国民民主党私設応援団　凡事徹底,2025-07-19T13:08:19Z,33171,58,候補者PR,User-Generated Content (including clips)  ,Shorts
4Y3w1FqT388,【衝撃】神谷代表、玉木さんにエグい協力要請してしまう,"下記の出典に基づき解説しています
■出典
https://x.com/jinkamiya/status/1945015501186326669

コメント欄で記事の意見を教えてください！
あとチャンネル登録していただけると嬉しいです

■コメント引用元
5ch（旧2ch）、海外4ch、エックス（旧Twitter）


■動画の内容について

この動画は誹謗中傷並びに著作権侵害を目的としておりません、コメントでもお控え強くお願いします。
お手数ですが動画に問題のある場合は下記ご連絡いただければ即削除いたします
garesokuhou@gmail.com

■YouTube のチャンネル収益化ポリシーについて

この動画は2ch(5ch)のスレッドをモチーフとし、再構成・改変を行ったオリジナルコンテンツです。
すべてわたしがオリジナル記事を情報元を参考に作成しております。
BGMや効果音で演出を加え、繰り返しの多いコンテンツにならないように制作しております。
動画内で使用しているイラスト・BGM等は、フリー素材も含まれるため他チャンネルでも使用されていますが、再利用ではありません。

■お借りしている素材
・いらすとや様
・VOICEROID様
・VOICEVOX様
・AvisSpeech
・もっぴーさうんど様
・効果音ラボ様",ガレ速報,2025-07-16T07:03:09Z,277962,212,候補者PR,User-Generated Content (including clips)  ,Video
VER_tZhp6aU,#榛葉賀津也 国民もう気がついたよね！ 【国民民主党 参議院選挙2025 比例名簿政策】,"国民に税金を返して経済を元気にする。消費税率下げてもみんなが元気になって買い物すれば、収入増えれば、税収増えるんだ！発想の転換だよ！

国民民主党の参議院選挙2025比例代表公認新人・平戸航太(ひらどこうた)です。日立製作所で設計者として勤務。二児の父。働きながら衆議院選挙2024に立候補するも落選、参議院選挙2025における国民民主党の公認候補へ。
▼詳細プロフィールはこちら▼
https://go2senkyo.com/seijika/192979

#国民民主党
#参議院選挙2025
#比例代表",平戸航太チャンネル【国民民主党 参議院 比例代表公認】,2025-07-18T06:00:26Z,36144,59,候補者PR,Candidate,Shorts
pHxZrre2vqM,7/16 朝のあいさつ #小林さやか #千葉選挙区 #国民民主党 #平戸航太,,小林さやかチャンネル,2025-07-16T02:28:49Z,2516,41,候補者PR,Candidate,Shorts
20qODnAx1bs,【国民民主党】玉ちゃんよく言った #おすすめ #国民民主党 #玉木雄一郎 #石破総理,,混沌の文太情熱チャンネル,2025-07-04T08:19:35Z,1141397,10,候補者PR,User-Generated Content (including clips)  ,Shorts
iwc7r23f5yQ,【国民民主党】足立康史さんに聞きたい政策以外の質問 その6「丸一日お休みがあったら何をしたいですか？」,"参議院議員選挙比例区 国民民主党公認候補、足立康史さんに政策以外のあれこれを質問！ 普段見られない足立さんや、知られざるエピソードが満載！

#国民民主党
#足立康史 
#手取りを増やす夏
#参院選2025",こくみん情報局【国民民主党切り抜きチャンネル】,2025-07-04T08:51:37Z,1050,30,政策提言,User-Generated Content (including clips)  ,Shorts
JgonErUinNQ,後藤ひとしへ、玉木代表から応援コメント！,,後藤ひとしチャンネル,2025-07-12T08:30:29Z,1554,31,候補者PR,User-Generated Content (including clips)  ,Shorts
WP9gT7E3t_Y,奥村よしひろを国政へ送り出す理由 #国民民主党 #shorts #森ようすけ,,森ようすけチャンネル,2025-07-05T23:07:14Z,3680,64,候補者PR,Official,Video
krus_ndPfqo,【さとうさおり】※消される前に見てください…国民民主党議員のエグすぎる事実が判明しました…【小池百合子】,"あなたは国民民主党の田中議員についてどう思いますか？
みなさんの意見をコメント欄で教えてください

もくじ
0:00 ダイジェスト
0:40 国民民主党の田中議員について
22:17 都民ファーストの会の小野議員を追及するさとうさおり氏
33:30 まとめ

引用
挨拶拒否。議員ってそんなに偉かった？
https://www.youtube.com/live/_EmX2d7cWeQ?si=RLkxSXF7L4vCbx0b

悩みましたが、もう、全て話します。
https://youtu.be/WnVnjdtvDHg?si=xa1HyAp-G_YLXt4w

#政治 #さとうさおり",やまとの政治塾,2025-07-05T01:54:23Z,76687,2031,その他,User-Generated Content (including clips)  ,Video
jvQIYtpi5Lw,参院選　国民民主党　玉木代表が来県,"国民民主党の玉木雄一郎代表が７日、来県し、参議院選挙での支持を訴えました。
（2025/07/08）


▼LINE NEWS「奈良テレビNEWS」友だち登録
https://line.me/R/ti/p/%40oa-naratvnews

▼奈良テレビNEWS
https://naratowa.jp/index_cate.html?c=909460998559007889",奈良テレビNEWS,2025-07-08T10:36:19Z,383,49,候補者PR,Media,Shorts
ZSy8WFJdDzk,国民民主党が選ばれる理由⇒手取りを増やしたい人におすすめ！ #shorts #国民民主党 #選挙 #投票 #玉木雄一郎 #榛葉幹事長,"このチャンネルのメンバーになって特典にアクセスしてください:
https://www.youtube.com/channel/UCRVke8dX9Lp7Up5L7GcYxgw/join

【Youtubeチャンネル】
https://youtube.com/channel/UCRVke8dX9Lp7Up5L7GcYxgw

【素材】
いらすとや様

【効果音・音声】
効果音ラボ様、VOICEVOX:青山龍星

#義実家 #トメ #家族 #主婦 #夫婦 #子供 #悩み #家族 #スカッと #キチ #ガルちゃん #スカッと #まとめ #2ch #5ch",レオン,2025-07-17T03:00:28Z,4221,56,候補者PR,User-Generated Content (including clips)  ,Shorts
8MCBY_lxVWo,国民民主党 奥村よしひろ 東京都参議院選挙候補者 #玉木雄一郎  #参議院 #政治  #政治家 #東京都 #榛葉幹事長 #所得税減税 #トランプ関税 #ガソリン減税 #牛田まゆ #年少扶養控除,"このチャンネルでは国民民主党に関する動画を投稿させていただいております。
国民民主党を勝手に応援＆宣伝チャンネルです！！

✅ 切り抜き・シェアは大歓迎です！
ただし、以下の点にはご注意ください。

❌ 意図的に内容を歪めるような編集
❌ 誹謗中傷・名誉毀損にあたるような発言の切り取りや編集
❌ 誤解を招くようなタイトルやサムネイルの使用

【X (旧Twitterアカウント) 】
https://x.com/kokuminnoinori

#臼木秀剛 #村岡敏英 #菊池大二郎 #浅野哲 #岸田光広 #橋本幹彦 #鈴木義弘 #鳩山紀一郎 #森洋介 #石井智恵 #玉木雄一郎 #榛葉賀津也 #川合孝典 #浜口誠 #浜野喜史 #舟山康江 #礒﨑哲史 #伊藤孝恵
#国会議員 #衆議院 #参議院 #国民民主党 #政界再編 #教育無償化 #所得税減税 #少子化対策 #政党支持率 #103万円の壁 #年少扶養控除復活 #人づくりこそ国づくり #自分の国は自分で守る #こくみんうさぎ 

🟡 玉木雄一郎さんと国民民主党の議員や立候予定者を応援したい方は、ぜひいいね👍をお願いします！
🟡 玉木雄一郎さんと国民民主党の議員や立候予定者を応援したい方は、チャンネル登録🆕をお願いします！
🟡 玉木雄一郎さんと国民民主党の議員や立候予定者を応援したい方は、コメント📝をお願いします！",国民の祈りチャンネル,2025-07-11T10:00:26Z,950,172,候補者PR,User-Generated Content (including clips)  ,Video
CLTbwLt1vT4,【国民民主党 参議院選挙2025 比例名簿政策】流山おおたかの森駅にて。手取りを増やす夏に！　#小林さやか #平戸航太,"国民民主党の参議院選挙2025比例代表公認新人・平戸航太(ひらどこうた)です。日立製作所で設計者として勤務。二児の父。働きながら衆議院選挙2024に立候補するも落選、参議院選挙2025における国民民主党の公認候補へ。
▼詳細プロフィールはこちら▼
https://go2senkyo.com/seijika/192979

#国民民主党
#参議院選挙2025
#比例代表",平戸航太チャンネル【国民民主党 参議院 比例代表公認】,2025-07-15T23:01:16Z,1619,38,候補者PR,Candidate,Shorts
9NV3JvMpekU,One in Two out #国民民主党 #玉木雄一郎 #参議院 #参議院議員選挙 #参議院選挙2025 #参院選2025 #選挙 #改革,,玉木雄一郎 応援チャンネル,2025-07-18T14:31:00Z,926,43,候補者PR,User-Generated Content (including clips)  ,Shorts
QfKBIclJ1_k,【国民民主党】足立康史さんに聞きたい政策以外の質問 その4「おいしいラーメン屋さんを教えてください！」,"参議院議員選挙比例区 国民民主党公認候補、足立康史さんに政策以外のあれこれを質問！ 普段見られない足立さんや、知られざるエピソードが満載！

#国民民主党
#足立康史 
#手取りを増やす夏
#参院選2025",こくみん情報局【国民民主党切り抜きチャンネル】,2025-07-04T08:49:46Z,2109,31,政策提言,User-Generated Content (including clips)  ,Shorts
18c0mhFuNQA,【全編】国民民主党・玉木雄一郎代表が高松で街頭演説｜参院選2025 党首応援,7月20日投開票の参議院選挙で、国民民主党の玉木雄一郎代表が16日、公認候補を応援するため香川県内に入った。香川県高松市のサンメッセ香川1F小展示場での様子と演説の全編ノンカットで公開中。,四国新聞公式YouTubeチャンネル,2025-07-16T11:51:37Z,3192,1350,候補者PR,Media,Video
