videoId,title,description,channelTitle,publishedAt,viewCount,duration,分類,Genre,Video_type
w2wk_SkDJvM,【参政党】「日本人ファースト」って何だ？過去に過激発言なぜ？他党と組む可能性は？神谷宗幣代表を直撃【政党研究】｜アベプラ,".
◆ABEMAで無料視聴
▷https://abema.go.link/gCY4N

◆過去の放送回はこちら
【公明党】創価学会との繋がりは？公約「やると言ったら、やり切る。」って本当？いつまで連立？西田実仁幹事長を直撃【政党研究】｜アベプラ
▷https://youtu.be/ZGX_6sc9iO4
　
【トランス女性】女子大が受け入れで賛否…バレる心配は？寮生活で懸念点は？周りの女性への配慮は？｜アベプラ
▷https://youtu.be/aNtJJey-dQQ
　
◆キャスト
MC：田村淳
神谷宗幣(参政党代表&事務局長 参院議員)
岸谷蘭丸(実業家・TikToker 海外大受験塾 「MMBH留学」を設立)
柴田阿弥(フリーアナウンサー)
塚越健司(学習院大学非常勤講師/ZEN大学客員講師)
司会進行：仁科健吾(テレビ朝日アナウンサー)
ナレーター：新井里美

「ABEMA Prime」
平日よる9時 アベマで生放送中

#アベプラ #参院選 #選挙 #参政党 #アベマ #ニュース

------------------------------------------------------------

◆ニュース公式SNS
ニュースCh：https://www.youtube.com/@News_ABEMA
X(旧Twitter)：https://twitter.com/News_ABEMA
TikTok①：https://www.tiktok.com/@abemaprime_official
TikTok②：https://www.tiktok.com/@abemaprime_official2

◆ABEMAアプリをダウンロード(登録なし/無料)
iOS：https://abe.ma/2NBqzZu
Android：https://abe.ma/2JL0K7b

※YouTube動画には一部ミュート(消音)の部分がございます。
※YouTube動画には掲載期限があり、予告なく掲載をおろす場合がございます。ご了承ください。

------------------------------------------------------------",ABEMA Prime #アベプラ【公式】,2025-07-09T10:30:41Z,429047,2147,その他,Media,Video
4Y3w1FqT388,【衝撃】神谷代表、玉木さんにエグい協力要請してしまう,"下記の出典に基づき解説しています
■出典
https://x.com/jinkamiya/status/1945015501186326669

コメント欄で記事の意見を教えてください！
あとチャンネル登録していただけると嬉しいです

■コメント引用元
5ch（旧2ch）、海外4ch、エックス（旧Twitter）


■動画の内容について

この動画は誹謗中傷並びに著作権侵害を目的としておりません、コメントでもお控え強くお願いします。
お手数ですが動画に問題のある場合は下記ご連絡いただければ即削除いたします
garesokuhou@gmail.com

■YouTube のチャンネル収益化ポリシーについて

この動画は2ch(5ch)のスレッドをモチーフとし、再構成・改変を行ったオリジナルコンテンツです。
すべてわたしがオリジナル記事を情報元を参考に作成しております。
BGMや効果音で演出を加え、繰り返しの多いコンテンツにならないように制作しております。
動画内で使用しているイラスト・BGM等は、フリー素材も含まれるため他チャンネルでも使用されていますが、再利用ではありません。

■お借りしている素材
・いらすとや様
・VOICEROID様
・VOICEVOX様
・AvisSpeech
・もっぴーさうんど様
・効果音ラボ様",ガレ速報,2025-07-16T07:03:09Z,277969,212,候補者PR,User-Generated Content (including clips)  ,Video
FhoexTtJ_Uo,【ホリエモン】参政党大フィーバー神谷宗幣の謎,"ご視聴いただきありがとうございます。
チャンネル登録、高評価よろしくお願いいたします！

ホリエモン・堀江貴文さんのチャンネル
ホリエモンチャンネル
https://www.youtube.com/channel/UCXjTiSGclQLVVU83GVrRM4w

ホリエモンチャンネル元動画
https://www.youtube.com/live/jkUu81BHbhw?si=3CjSRoPOlNvrvJmV

---堀江貴文さんのおすすめ書籍----

２０３５　１０年後のニッポン　ホリエモンの未来予測大全
https://amzn.asia/d/dYEirME

時間革命 1秒もムダに生きるな
https://amzn.asia/d/56fDI3b


---堀江貴文さんのベストセラー書籍----

ゼロ―――なにもない自分に小さなイチを足していく（ダイヤモンド社）
▶ https://amzn.to/2VHSx9J

多動力 (NewsPicks Book) (幻冬舎文庫)
▶ https://amzn.to/2HNvlSv


堀江貴文さんホリエモンのSNS
Twitter : https://twitter.com/takapon_jp
Instagram : https://www.instagram.com/takapon_jp/
TikTok : https://www.tiktok.com/@takafumi_horie

登録者数
2022/08/28 100人
2022/09/16 1,000人
2022/11/26 10,000人達成!!
ありがとうございます！

※誹謗中傷と見られるコメントは即時削除させていただきます。

ホリエモン・堀江貴文さんの配信動画の見所を切り抜いて投稿するチャンネルです。ホリエモン・堀江貴文さんの生活に役立つ話から、面白くて笑える話などさまざまなジャンルの話を短い時間でサクッと！見てお楽しみいただくチャンネルです。


※こちらのチャンネルはガジェット通信様に申し込んだ上で運営しております。




＃ホリエモン #堀江貴文 #ガーシー #ひろゆき #副業 #フリーランス #ホリエモン #ライブドア #ひろゆき #ヒカル #宮迫 #牛宮城 #焼肉 #中田敦彦 #メンタリストdaigo #与沢翼 #コレコレ #切り抜き#中田 #青汁王子 #三崎優太 #成田祐輔 #岡田斗司夫 #朝倉未来 #中田敦彦のyoutube大学 #加藤純一#詐欺師 #金持ち #ホロライブ #日経テレ東大学 #積立NISA #NISA #インデックスファンド #インデックス投資 #iDeCo #投資信託 #株 #株式 #FX #貯金 #銀行 #銘柄 #仮想通貨 #暗号資産 #暗号通貨 #ビットコイン #BTC #イーサリアム #ETH #リップル #XRP #ビットコインキャッシュ #BCH #モナコイン #MONA #NFT #FAME #東谷義和",サクッと ! ホリエモン【切り抜き】,2025-07-19T16:11:16Z,130668,35,その他,User-Generated Content (including clips)  ,Shorts
270Nios9i54,【医師が説明】参政党の医療政策のウソを分かりやすく解説！,"参政党が話題になっています。神谷代表が語る医療関係の公約について説明します。終末期医療や看取りの実際についても解説します
今回の動画では、医師の視点から【終末期医療】に関する賛成党の政策を検証します。特に【診療報酬】制度の見直しや、【医療費】の自己負担化について詳しく解説。医療【現場】の視点から、問題点を指摘し、分かりやすく説明します。",病院グループ総帥　中田総院長,2025-07-19T03:57:22Z,26206,2243,政策提言,User-Generated Content (including clips)  ,Video
#NAME?,【ひろゆき】参政党神谷代表の子供産めない問題発言について、正直に言います。【切り抜き】,"#ひろゆき #ひろゆき切り抜き #論破 #解説 #ひろゆきの広場 #聞き流し #shorts #ひろゆき置いてきた #面白い #おすすめ仕事 #戦争 #選挙 #政治 #神谷宗幣 #高齢出産

 ※当チャンネルはガジェット通信様の申請の元、動画を切り抜き配信しております。

※ひろゆきさんのチャンネル
【ひろゆき,hiroyuki】
https://youtube.com/c/hiroyukix

※元動画　
https://www.youtube.com/live/XZz-1yR2dYQ?si=Z_22rrYLt66xv3P5",ひろゆきの広場【ひろゆき切り抜き】,2025-07-07T08:00:00Z,9333,173,その他,User-Generated Content (including clips)  ,Video
iPnsnn8WFls,【選挙戦最終盤】神谷代表の街頭演説が熱い！,"話題の政治＆ニュース解説

▪気になるニュースを解説
みなさんが気軽にコメントで参加できるコミュニティーです

世間を騒がせるような話題が多いので、
興味がある方は、気軽にコメントしてみてください。
チャンネル登録もお忘れなく

▪動画について
当チャンネルの動画は、特定の個人や団体を誹謗中傷する意図で制作されたものではありません。
また、使用している素材は適切な引用の範囲内であり、著作権を侵害する目的はございません。

▪著作物について
動画内で掲載している画像やその他の著作物の著作権・肖像権は、すべて各権利所有者に帰属します。
各権利所有者様や第三者に不利益が生じないよう十分配慮しておりますが、
万が一問題がございましたら、権利所有者ご本人からご連絡いただけますと幸いです。

#政治 #参政党 #神谷宗幣 #参院選 #大竹栄喜 

引用元
街頭演説 in 神奈川 新横浜駅前西広場　令和7年7月19日（土）8：00頃　【参議院選挙2025 参政党 Live】
https://www.youtube.com/watch?v=8ZAm60Yl4nM

▪声&素材
VOICEVOX:青山龍星、リュウスケ、ミナト、ずんだもん",大竹栄喜,2025-07-19T10:34:15Z,598,593,候補者PR,User-Generated Content (including clips)  ,Video
tmqzt8l3BkA,参政党神谷宗幣　子供の自殺を止めるためにあえて反対したものとは #参政党 #神谷宗幣,,立ち上がれ日本-高校生-,2025-07-13T10:01:30Z,575756,89,その他,User-Generated Content (including clips)  ,Video
YHe3tZkpz3c,㊗️110万再生!!メディアの参政党叩きの真相が判明,"#shorts  #政治 #参政党 #オールドメディア #スパイ防止法

VOICEVOX：青山龍星
VOICEVOX：剣崎雌雄
VOICEVOX：玄野武宏
VOICEVOX：四国めたん",変わるJAPAN【日本応援CH】,2025-07-10T03:00:42Z,1168915,60,その他,User-Generated Content (including clips)  ,Shorts
S8kGytZevhI,㊗️10万再生!あっぱれ!参政党!さやを守る三橋貴明が漢の中の漢だった! #政治 #参政党 #街頭演説,,覚醒Japan賞賛show,2025-07-17T22:53:55Z,112786,57,候補者PR,User-Generated Content (including clips)  ,Shorts
u66qk7cwTuo,神谷代表 「お笑い芸人のネタじゃないんだ、一部のメディアが毎日、私の失言ないかなって待ってます」参政党,"#shorts 

#参政党
#神谷宗幣
#国民民主党
#さや
#議会
#政治

元動画 
https://www.youtube.com/@sanseito-official/streams",喜べ!JAPAN,2025-07-18T03:01:05Z,143511,98,その他,User-Generated Content (including clips)  ,Video
