channelTitle,video_count,total_views,jenre
国民民主党,69,6828579,Official
政治をエンタメに,10,5528995,User-Generated Content (including clips)  
国民うさぎ【国民民主党応援団】,7,5154853,User-Generated Content (including clips)  
玉木雄一郎の頭脳【国民民主党 切り抜き】,10,3875265,User-Generated Content (including clips)  
日テレNEWS,23,3853492,Media
国民民主党推し活ちゃんねる,40,3302840,User-Generated Content (including clips)  
FNNプライムオンライン,9,2901430,Media
日本の政治を解体,1,2694758,User-Generated Content (including clips)  
秒で暴く政治の闇,1,2681485,User-Generated Content (including clips)  
中田敦彦のYouTube大学 - NAKATA UNIVERSITY,2,2399123,Public Figure
ABEMA Prime #アベプラ【公式】,6,2390744,Media
ReHacQ−リハック−【公式】,4,2124738,Media
ポメスキャンダル【ネットの反応】,3,2029311,User-Generated Content (including clips)  
国民の叫び,3,1883980,User-Generated Content (including clips)  
平戸航太チャンネル【国民民主党 参議院 比例代表公認】,45,1866221,Candidate
選挙に行きたくなるTV,1,1808948,User-Generated Content (including clips)  
政治のタブーに挑む者,3,1683173,User-Generated Content (including clips)  
ANNnewsCH,7,1557281,Media
日本の政治を考えるTV,1,1535665,User-Generated Content (including clips)  
ダークネスchan,13,1488902,User-Generated Content (including clips)  
JAPANの事実,8,1294795,User-Generated Content (including clips)  
ニコニコニュース,5,1236632,Media
たまきチャンネル,15,1209171,Official
混沌の文太情熱チャンネル,3,1158282,User-Generated Content (including clips)  
たまきカフェ,14,1132663,User-Generated Content (including clips)  
楽待 RAKUMACHI,2,1079649,User-Generated Content (including clips)  
【ニュース アメイジング】ガロン ,1,1048928,User-Generated Content (including clips)  
真相深入り! 虎ノ門ニュース,2,932219,Media
にっぽん見守り党,11,917553,User-Generated Content (including clips)  
PIVOT 公式チャンネル,3,870850,Media
TBS NEWS DIG Powered by JNN,10,863332,Media
撮って出しニュース,2,839216,User-Generated Content (including clips)  
日本の政治に期待できません,2,815409,User-Generated Content (including clips)  
政治の論点,3,769343,User-Generated Content (including clips)  
牛田まゆチャンネル,25,740951,Candidate
カンテレNEWS,2,737591,Media
井川意高が熔ける日本を斬る,1,730360,Public Figure
個人事業主のヒトリゴト,1,674158,User-Generated Content (including clips)  
トマホークTomahawk,1,603998,User-Generated Content (including clips)  
あっぱれ!日本,1,576882,User-Generated Content (including clips)  
現代地方政治チャンネル,1,550778,User-Generated Content (including clips)  
スカッと国会,1,501908,User-Generated Content (including clips)  
玉木雄一郎 切り抜き速報,10,497303,User-Generated Content (including clips)  
国民の政-matsurigoto-,4,452325,User-Generated Content (including clips)  
文藝春秋PLUS 公式チャンネル,4,449306,Media
ぜはーちゃんねる,1,433765,User-Generated Content (including clips)  
玉木・榛葉の届ける政治【国民民主 応援切り抜きチャンネル】,2,433363,User-Generated Content (including clips)  
色々政治家情報,9,424089,User-Generated Content (including clips)  
テレ東BIZ,4,414256,Media
時事ネコ速報【ネットの反応】,1,385135,User-Generated Content (including clips)  
竹田恒泰ch公式ショート(切り抜き),2,331163,User-Generated Content (including clips)  
手軽に国会中継【桜子の部屋♥】,1,328536,User-Generated Content (including clips)  
国民の政治チャンネル,3,315259,User-Generated Content (including clips)  
選挙ドットコムちゃんねる,3,314106,Media
岡本こうき　公式チャンネル,1,312607,Candidate
Daiichi-TV NEWS,2,306273,Media
永田町に正論パンチ,5,305496,User-Generated Content (including clips)  
政治のウラ側をのぞき見【切り抜き】,4,298571,User-Generated Content (including clips)  
日本が変わる政治ウォッチ,1,296868,User-Generated Content (including clips)  
国民のポリシーズ【政治切り抜き】,3,293157,User-Generated Content (including clips)  
ガレ速報,1,277962,User-Generated Content (including clips)  
暴露の「F」,1,273482,User-Generated Content (including clips)  
【毎日18時更新】政治ダイジェスト,1,264528,User-Generated Content (including clips)  
NewsPicks /ニューズピックス,1,263501,User-Generated Content (including clips)  
2ch時事特報,1,259618,User-Generated Content (including clips)  
フクちゃんの政治通信,5,254151,User-Generated Content (including clips)  
ぼくらは減税を夢見る,4,253045,User-Generated Content (including clips)  
山本太郎 れいわ新選組を応援&拡散しようch,1,244091,User-Generated Content (including clips)  
投資家 Kei お金チャンネル - 高齢者むけ給付金・生活保護などの情報配信,2,233017,User-Generated Content (including clips)  
ユノキ帝国【岸谷蘭丸&オオモリ】,3,231668,User-Generated Content (including clips)  
【非公式】ドラゴンボールでニュース解説,1,230915,User-Generated Content (including clips)  
日本中学生新聞,5,223853,Media
あだチャン 足立康史チャンネル,12,222534,Candidate
奥村 よしひろ / Yoshihiro Okumura,14,214067,Candidate
竹田恒泰ch公式切り抜きチャンネル,4,213683,User-Generated Content (including clips)  
政治のあれこれ,3,213286,User-Generated Content (including clips)  
高須幹弥（高須クリニック）,1,211425,User-Generated Content (including clips)  
日本終わらせ党,2,199816,User-Generated Content (including clips)  
トレンド戦隊ジャパンV,1,193206,User-Generated Content (including clips)  
お茶の間政治部,2,168280,User-Generated Content (including clips)  
WCJP-世界に誇る日本-,1,156232,User-Generated Content (including clips)  
はまべ健太ちゃんねる,5,151087,User-Generated Content (including clips)  
三橋TV,1,146976,Public Figure
やまとの政治塾,2,146242,User-Generated Content (including clips)  
日本を救えるのは国民の政治参加しかない参政党Ver.,1,144405,User-Generated Content (including clips)  
わたなべりおちゃんねる,6,141581,User-Generated Content (including clips)  
政治の語り場,2,140541,User-Generated Content (including clips)  
ゆっくり政治チャンネル,2,137104,User-Generated Content (including clips)  
政界と戦う異端児,5,132341,User-Generated Content (including clips)  
うさ耳国防隊,1,126588,User-Generated Content (including clips)  
れいわ新選組推し一択,1,119046,User-Generated Content (including clips)  
石川典行チャンネル,1,117243,User-Generated Content (including clips)  
HitJP News,2,109069,User-Generated Content (including clips)  
日本政治TIME,2,102977,User-Generated Content (including clips)  
北海道総支部連合会｜国民民主党,10,101188,User-Generated Content (including clips)  
【速報】日本のヤバい政治・経済ニュース【切り抜き】,2,95926,User-Generated Content (including clips)  
国政ナビ – 日本政治と未来の軌跡,4,93808,User-Generated Content (including clips)  
ゆとりくんチャンネル,1,89700,User-Generated Content (including clips)  
無敵のたまき【切り抜き】,2,87288,User-Generated Content (including clips)  
激論スタジアム,2,86883,User-Generated Content (including clips)  
西田亮介研究室夜店YouTube分舗,1,86775,User-Generated Content (including clips)  
進撃のジャパン【海外の反応】,1,86003,User-Generated Content (including clips)  
国民民主党私設応援団　凡事徹底,5,85078,User-Generated Content (including clips)  
山本太郎【れいわ新選組】切り抜き動画,1,82632,User-Generated Content (including clips)  
呂布カルマの部屋【切り抜き】,1,82364,User-Generated Content (including clips)  
まなびばLIVE,2,81902,User-Generated Content (including clips)  
速報ちゃん,1,77633,User-Generated Content (including clips)  
ミラクル未来来,1,76624,User-Generated Content (including clips)  
深田萌絵TV,1,75669,Public Figure
熱いぞ!ニッポン,2,74567,User-Generated Content (including clips)  
【国民の知る権利】,2,73513,User-Generated Content (including clips)  
テレビ静岡ニュース,1,71257,Media
レオン,4,71230,User-Generated Content (including clips)  
ひろゆき衝撃切り抜きチャンネル,1,68247,User-Generated Content (including clips)  
政治の戦場,3,66147,User-Generated Content (including clips)  
国民の港,2,65458,User-Generated Content (including clips)  
時事ネタ・スキャンダル速報,2,64360,User-Generated Content (including clips)  
かわもと健一 国民民主党,36,63341,Candidate
国民の祈りチャンネル,5,56504,User-Generated Content (including clips)  
伊藤たかえちゃんねる,1,55635,Candidate
政治1分【やさしい政治解説チャンネル】,3,55133,User-Generated Content (including clips)  
