channelTitle,video_count,total_views,jenre
ポメスキャンダル【ネットの反応】,31,25841221,User-Generated Content (including clips)  
話題のニュースch,13,19075064,User-Generated Content (including clips)  
チワワのウワサ【ネットの反応】,17,16818138,User-Generated Content (including clips)  
参政党,46,11294995,Official
日本の政治家,5,8104545,User-Generated Content (including clips)  
色々政治家情報,19,7679306,User-Generated Content (including clips)  
【ニュース アメイジング】ガロン ,10,7440221,User-Generated Content (including clips)  
イルカ政治,13,5858222,User-Generated Content (including clips)  
TBS NEWS DIG Powered by JNN,18,5135915,Media
橙色は希望の色,11,5108484,User-Generated Content (including clips)  
日本政治の夜明け,4,4995483,User-Generated Content (including clips)  
日テレNEWS,17,4573889,Media
井川意高の政治・経済を学ぶ,2,3763870,Public Figure
雑学猫,6,3759603,User-Generated Content (including clips)  
選挙タイム,8,3757039,User-Generated Content (including clips)  
国民の叫び,8,3547550,User-Generated Content (including clips)  
日本の政治・経済を斬る,2,3295043,User-Generated Content (including clips)  
うさ耳情報局,5,3292666,User-Generated Content (including clips)  
文化人放送局,29,3148535,User-Generated Content (including clips)  
変わるJAPAN【日本応援CH】,5,3140283,User-Generated Content (including clips)  
人類予備校,89,3021330,User-Generated Content (including clips)  
政治と私【政治経済ニュース】,4,3004172,User-Generated Content (including clips)  
ニッポンのチカラ,2,2957198,User-Generated Content (including clips)  
ゴシップニュースジャパン,18,2905085,User-Generated Content (including clips)  
やまとの政治塾,5,2788313,User-Generated Content (including clips)  
ANNnewsCH,19,2523418,Media
ガグル〈話題の事 語る奴〉,6,2394328,User-Generated Content (including clips)  
髙橋洋一チャンネル,3,2347370,Public Figure
末広栄二,6,2294315,User-Generated Content (including clips)  
覚醒Japan賞賛show,4,2270399,User-Generated Content (including clips)  
【参政党】必勝ガチチャンネル,6,2141265,User-Generated Content (including clips)  
日本のミカタ,1,2103104,User-Generated Content (including clips)  
日本を救えるのは国民の政治参加しかない参政党ver.2,2,2082739,User-Generated Content (including clips)  
喜べ!JAPAN,21,2023124,User-Generated Content (including clips)  
悪の秘密ぼっち「ヘライザー総統」と言う名のファンタジー,9,1996978,User-Generated Content (including clips)  
日本を救えるのは国民の政治参加しかない参政党Ver.,4,1987056,User-Generated Content (including clips)  
JAPANの逸話,2,1974890,User-Generated Content (including clips)  
日本ファーストチャンネル,1,1909178,User-Generated Content (including clips)  
日本の政治を解体,2,1895483,User-Generated Content (including clips)  
高須幹弥（高須クリニック）,5,1878718,User-Generated Content (including clips)  
怒りのドラゴン通信,6,1822489,User-Generated Content (including clips)  
日本政治TIME,6,1784895,User-Generated Content (including clips)  
ABEMA Prime #アベプラ【公式】,5,1784375,Media
頼れるアニキ's.チャンネル,1,1743678,User-Generated Content (including clips)  
JAPANの事実,10,1729963,User-Generated Content (including clips)  
参政党ニュース速報,7,1659343,User-Generated Content (including clips)  
historia〜歴史に学ぶ,2,1658036,User-Generated Content (including clips)  
政経電論TV,2,1639726,User-Generated Content (including clips)  
むしょくのヨーン【れいわ新選組十番隊無職】,1,1636194,User-Generated Content (including clips)  
政治家ターゲットch,21,1616156,User-Generated Content (including clips)  
日本の正義を切り抜く,2,1577952,User-Generated Content (including clips)  
ニコニコニュース,3,1570981,User-Generated Content (including clips)  
政治を伝える,6,1502469,User-Generated Content (including clips)  
井川意高が熔ける日本を斬る,4,1501637,Public Figure
ReHacQ−リハック−【公式】,3,1447266,Media
パグリーク【ネットの反応】,5,1368837,User-Generated Content (including clips)  
FNNプライムオンライン,9,1253204,Media
スカッと国会,2,1204021,User-Generated Content (including clips)  
ばくわら芸人物語,5,1198345,User-Generated Content (including clips)  
NewsPicks /ニューズピックス,2,1178142,Media
大人の意見が聞きたい,3,1178061,User-Generated Content (including clips)  
としゆき / 木下敏之,1,1084892,User-Generated Content (including clips)  
どうなる日本の政治は,3,1045003,User-Generated Content (including clips)  
楽待 RAKUMACHI,2,1040159,User-Generated Content (including clips)  
撮って出しニュース,3,1018346,User-Generated Content (including clips)  
ふて猫政治レポート,5,979659,User-Generated Content (including clips)  
政界スナイパー,1,975334,User-Generated Content (including clips)  
立ち上がれ日本-高校生-,2,971962,User-Generated Content (including clips)  
参政党【非公式】神谷宗幣応援ch　愛する日本を守りたい【日本が崩れ落ちる前に】,3,924364,User-Generated Content (including clips)  
おらっちチャンネル,1,922197,User-Generated Content (including clips)  
PIVOT 公式チャンネル,1,921881,Media
最新政治しばニュース,5,917716,User-Generated Content (including clips)  
ポリポリちゃんねる,8,915525,User-Generated Content (including clips)  
文藝春秋PLUS 公式チャンネル,3,910088,Media
政経ゆっくりチャンネル 総合,8,883833,User-Generated Content (including clips)  
ココノセイジ,24,878911,User-Generated Content (including clips)  
フクロウ政治CH【参政党の本音】,2,876988,User-Generated Content (including clips)  
中日新聞デジタル編集部,2,850415,Media
手軽に国会中継【桜子の部屋♥】,3,846096,User-Generated Content (including clips)  
ニッポンジャーナル,4,833999,User-Generated Content (including clips)  
投資家 Kei お金チャンネル - 高齢者むけ給付金・生活保護などの情報配信,3,778192,User-Generated Content (including clips)  
SAMEJIMA TIMES,3,764633,User-Generated Content (including clips)  
三橋TV,3,725922,Public Figure
堀江貴文 ホリエモン,2,724064,Public Figure
政経CHANNEL,3,695146,User-Generated Content (including clips)  
国会探偵 Q,2,680261,User-Generated Content (including clips)  
参政党さや(saya) 街頭演説 応援ちゃんねる「非公式」,5,668859,User-Generated Content (including clips)  
日本の政治を一刀両断,4,621685,User-Generated Content (including clips)  
カンテレNEWS,2,610442,Media
143万回視聴　カエル【政治を斬る】,1,604123,User-Generated Content (including clips)  
【国会•政治】散歩(sanpo),2,585268,User-Generated Content (including clips)  
まつりごとch,1,522095,User-Generated Content (including clips)  
