word,frequency,genre
玉木,697,Leader
雄一郎,444,Leader
代表,248,Leader
演説,206,Speech
街頭,123,Speech
石破,115,Anti-Government
幹事,108,Leader
shorts,103,YouTube Term
候補,91,Candidate
政治,90,Policy
増やす,88,Policy
　#,87,YouTube Term
政策,80,Policy
牛田,79,Candidate
手取り,79,Policy
比例,77,Candidate
自民党,71,Anti-Government
まゆ,69,Candidate
日本,65,Policy
よしひろ,63,Candidate
奥村,60,Candidate
応援,56,Candidate
東京,53,Speech
減税,49,Policy
配信,49,YouTube Term
健一,43,Candidate
公約,43,Policy
議席,42,Others
議員,41,Candidate
党首,41,Policy
最新,41,YouTube Term
ライブ,38,YouTube Term
神谷,35,Other Parties
名簿,35,Others
討論,35,Policy
伊藤,34,Candidate
山尾,34,Other Parties
平戸,33,Candidate
小林,32,Candidate
総理,32,Anti-Government
さやか,31,Candidate
情勢,31,Others
税金,29,Policy
公認,28,Candidate
すぎる,26,Policy
解説,26,Policy
たか,26,Others
てる,25,Others
世代,24,Policy
どこ,24,Others
最後,23,Speech
足立,23,Candidate
第一声,23,Speech
経済,23,Policy
訴え,22,Policy
ガソリン,22,Policy
再生,22,Other Parties
外国,21,Foreign-Related
】#,21,YouTube Term
10,21,Others
来る,21,Speech
103,21,Others
ひろ,21,Candidate
無所属,21,Other Parties
会見,21,Others
康史,20,Candidate
投票,20,Speech
語る,20,Speech
発言,20,Speech
LIVE,20,YouTube Term
ゆき,20,Candidate
新橋,19,Speech
消費,19,Policy
訴える,19,Policy
令和,19,Others
16,18,Others
理由,18,Policy
自公,18,Anti-Government
支持,18,Policy
藤井,18,Media-Related
成長,18,Policy
戦略,18,Policy
17,18,Others
政権,18,Anti-Government
出馬,18,Others
すける,17,Others
聞く,16,Others
切り抜き,16,YouTube Term
給付,16,Policy
対策,16,Policy
維新,16,Other Parties
12,16,Others
わたる,16,Others
スタート,16,Candidate
21,16,Others
7,16,Others
ニュース,16,Media-Related
離党,16,Others
自民,15,Anti-Government
ノーカット,15,YouTube Term
